molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target,is_outlier,canonical_smiles
CHEMBL341591,=,=,nM,7100.0,uM,7.1,aromatase,False,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12
CHEMBL431859,=,=,nM,238.0,uM,0.238,aromatase,False,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21
CHEMBL113637,=,=,nM,57.0,uM,0.057,aromatase,False,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21
CHEMBL112021,=,=,nM,54.0,uM,0.054,aromatase,False,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21
CHEMBL324070,=,=,nM,5400.0,uM,5.4,aromatase,False,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1
CHEMBL41761,=,=,nM,41.0,uM,0.041,aromatase,False,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21
CHEMBL111868,=,=,nM,78.5,uM,0.0785,aromatase,False,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21
CHEMBL111888,=,=,nM,51.8,uM,0.0518,aromatase,False,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21
CHEMBL112074,=,=,nM,205.0,uM,0.205,aromatase,False,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21
CHEMBL324326,=,=,nM,50.0,uM,0.05,aromatase,False,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1
CHEMBL37321,=,=,nM,6600.0,uM,6.6,aromatase,False,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL353068,=,=,nM,51000.0,uM,51.0,aromatase,True,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21
CHEMBL41066,=,=,nM,3200.0,uM,3.2,aromatase,False,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL424556,=,=,nM,103000.0,uM,103.0,aromatase,True,O=C1/C(=C/c2ccnnc2)CCc2ccccc21
CHEMBL1630273,=,=,nM,6800.0,uM,6.8,aromatase,False,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1630261,=,=,nM,50.0,uM,0.05,aromatase,False,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL169251,=,=,nM,170.0,uM,0.17,aromatase,False,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21
CHEMBL168636,=,=,nM,9200.0,uM,9.2,aromatase,False,O=C1/C(=C/c2cccnc2)CCc2ccccc21
CHEMBL90585,=,=,nM,4600.0,uM,4.6,aromatase,False,O=C1/C(=C/c2ccncc2)CCc2ccccc21
CHEMBL1629805,=,=,nM,49.0,uM,0.049,aromatase,False,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL38877,=,=,nM,31000.0,uM,31.0,aromatase,True,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39275,=,=,nM,40000.0,uM,40.0,aromatase,True,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39513,=,=,nM,21000.0,uM,21.0,aromatase,True,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL2112738,=,=,nM,11000.0,uM,11.0,aromatase,False,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL289116,=,=,nM,10000.0,uM,10.0,aromatase,False,CCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL289116,=,=,nM,45000.0,uM,45.0,aromatase,True,CCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL39782,=,=,nM,30000.0,uM,30.0,aromatase,True,CCC1(c2ccncc2)CCC(=O)N(C)C1=O
CHEMBL304903,=,=,nM,370.0,uM,0.37,aromatase,False,c1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL488,=,=,nM,8000.0,uM,8.0,aromatase,False,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL488,=,=,nM,14000.0,uM,14.0,aromatase,True,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL168434,=,=,nM,260.0,uM,0.26,aromatase,False,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21
CHEMBL352645,=,=,nM,600.0,uM,0.6,aromatase,False,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21
CHEMBL2112739,=,=,nM,1000.0,uM,1.0,aromatase,False,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL440930,=,=,nM,13000.0,uM,13.0,aromatase,True,c1cncc(C2C3CCc4ccccc4C32)c1
CHEMBL1630274,=,=,nM,31.0,uM,0.031,aromatase,False,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1629804,=,=,nM,60.0,uM,0.06,aromatase,False,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL39661,=,=,nM,800.0,uM,0.8,aromatase,False,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39661,=,=,nM,5000.0,uM,5.0,aromatase,False,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38550,=,=,nM,3000.0,uM,3.0,aromatase,False,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39152,=,=,nM,3600.0,uM,3.6,aromatase,False,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL3349856,=,=,nM,860.0,uM,0.86,aromatase,False,C[C@]12CCC[C@@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1630275,=,=,nM,150000.0,uM,150.0,aromatase,True,CO[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1630267,=,=,nM,940.0,uM,0.94,aromatase,False,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL38439,=,=,nM,1500.0,uM,1.5,aromatase,False,CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38510,=,=,nM,245000.0,uM,245.0,aromatase,True,CC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL415753,=,=,nM,18000.0,uM,18.0,aromatase,True,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21
CHEMBL3349864,=,=,nM,280.0,uM,0.28,aromatase,False,C[C@]12CCC[C@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1629806,=,=,nM,190.0,uM,0.19,aromatase,False,C[C@]12CCCC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL275594,=,=,nM,6000.0,uM,6.0,aromatase,False,CCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL39781,=,=,nM,385000.0,uM,385.0,aromatase,True,CCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL413344,=,=,nM,38000.0,uM,38.0,aromatase,True,O=C1/C(=C/c2cnccn2)CCc2ccccc21
CHEMBL168444,=,=,nM,27000.0,uM,27.0,aromatase,True,O=C1c2ccccc2CCC1C(O)c1ccncn1
CHEMBL288712,=,=,nM,2500.0,uM,2.5,aromatase,False,CCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL169086,=,=,nM,1100.0,uM,1.1,aromatase,False,O=C1/C(=C/c2cncs2)CCc2ccccc21
CHEMBL289766,=,=,nM,2400.0,uM,2.4,aromatase,False,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL1630266,=,=,nM,1400.0,uM,1.4,aromatase,False,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL2111917,=,=,nM,700.0,uM,0.7,aromatase,False,CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL39840,=,=,nM,10000.0,uM,10.0,aromatase,False,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL1630911,=,=,nM,6900.0,uM,6.9,aromatase,False,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL40125,=,=,nM,4000.0,uM,4.0,aromatase,False,CCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL2311169,=,=,nM,660.0,uM,0.66,aromatase,False,C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL38472,=,=,nM,330.0,uM,0.33,aromatase,False,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL38472,=,=,nM,600.0,uM,0.6,aromatase,False,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL274318,=,=,nM,28500.0,uM,28.5,aromatase,True,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL113739,=,=,nM,187.5,nM,187.5,aromatase,False,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL113121,=,=,nM,176.0,nM,176.0,aromatase,False,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL10137,=,=,nM,620.0,uM,0.62,aromatase,False,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O
CHEMBL10072,=,=,nM,3300.0,uM,3.3,aromatase,False,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21
CHEMBL113082,=,=,nM,31.0,nM,31.0,aromatase,False,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
