molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target,is_outlier
CHEMBL341591,=,=,nM,7100.0,uM,7.1,aromatase,False
CHEMBL431859,=,=,nM,238.0,uM,0.238,aromatase,False
CHEMBL113637,=,=,nM,57.0,uM,0.057,aromatase,False
CHEMBL112021,=,=,nM,54.0,uM,0.054,aromatase,False
CHEMBL324070,=,=,nM,5400.0,uM,5.4,aromatase,False
CHEMBL41761,=,=,nM,41.0,uM,0.041,aromatase,False
CHEMBL111868,=,=,nM,78.5,uM,0.0785,aromatase,False
CHEMBL111888,=,=,nM,51.8,uM,0.0518,aromatase,False
CHEMBL112074,=,=,nM,205.0,uM,0.205,aromatase,False
CHEMBL324326,=,=,nM,50.0,uM,0.05,aromatase,False
CHEMBL37321,=,=,nM,6600.0,uM,6.6,aromatase,False
CHEMBL353068,=,=,nM,51000.0,uM,51.0,aromatase,True
CHEMBL41066,=,=,nM,3200.0,uM,3.2,aromatase,False
CHEMBL424556,=,=,nM,103000.0,uM,103.0,aromatase,True
CHEMBL1630273,=,=,nM,6800.0,uM,6.8,aromatase,False
CHEMBL1630261,=,=,nM,50.0,uM,0.05,aromatase,False
CHEMBL169251,=,=,nM,170.0,uM,0.17,aromatase,False
CHEMBL168636,=,=,nM,9200.0,uM,9.2,aromatase,False
CHEMBL90585,=,=,nM,4600.0,uM,4.6,aromatase,False
CHEMBL1629805,=,=,nM,49.0,uM,0.049,aromatase,False
CHEMBL38877,=,=,nM,31000.0,uM,31.0,aromatase,True
CHEMBL39275,=,=,nM,40000.0,uM,40.0,aromatase,True
CHEMBL39513,=,=,nM,21000.0,uM,21.0,aromatase,True
CHEMBL2112738,=,=,nM,11000.0,uM,11.0,aromatase,False
CHEMBL289116,=,=,nM,10000.0,uM,10.0,aromatase,False
CHEMBL289116,=,=,nM,45000.0,uM,45.0,aromatase,True
CHEMBL39782,=,=,nM,30000.0,uM,30.0,aromatase,True
CHEMBL304903,=,=,nM,370.0,uM,0.37,aromatase,False
CHEMBL488,=,=,nM,8000.0,uM,8.0,aromatase,False
CHEMBL488,=,=,nM,14000.0,uM,14.0,aromatase,True
CHEMBL168434,=,=,nM,260.0,uM,0.26,aromatase,False
CHEMBL352645,=,=,nM,600.0,uM,0.6,aromatase,False
CHEMBL2112739,=,=,nM,1000.0,uM,1.0,aromatase,False
CHEMBL440930,=,=,nM,13000.0,uM,13.0,aromatase,True
CHEMBL1630274,=,=,nM,31.0,uM,0.031,aromatase,False
CHEMBL1629804,=,=,nM,60.0,uM,0.06,aromatase,False
CHEMBL39661,=,=,nM,800.0,uM,0.8,aromatase,False
CHEMBL39661,=,=,nM,5000.0,uM,5.0,aromatase,False
CHEMBL38550,=,=,nM,3000.0,uM,3.0,aromatase,False
CHEMBL39152,=,=,nM,3600.0,uM,3.6,aromatase,False
CHEMBL3349856,=,=,nM,860.0,uM,0.86,aromatase,False
CHEMBL1630275,=,=,nM,150000.0,uM,150.0,aromatase,True
CHEMBL1630267,=,=,nM,940.0,uM,0.94,aromatase,False
CHEMBL38439,=,=,nM,1500.0,uM,1.5,aromatase,False
CHEMBL38510,=,=,nM,245000.0,uM,245.0,aromatase,True
CHEMBL415753,=,=,nM,18000.0,uM,18.0,aromatase,True
CHEMBL3349864,=,=,nM,280.0,uM,0.28,aromatase,False
CHEMBL1629806,=,=,nM,190.0,uM,0.19,aromatase,False
CHEMBL275594,=,=,nM,6000.0,uM,6.0,aromatase,False
