molecule_chembl_id,molwt,LogP,TPSA,HBD,HBA,RotB
CHEMBL488,232.28299999999996,1.3532,72.19,2,3,2
CHEMBL39661,330.47200000000004,4.238900000000004,50.27,0,3,9
CHEMBL38439,316.445,3.8488000000000033,50.27,0,3,8
CHEMBL41066,288.391,3.1165000000000003,59.06,1,3,7
CHEMBL38510,204.22899999999998,0.7758999999999998,59.06,1,3,1
CHEMBL38550,344.499,4.629000000000005,50.27,0,3,10
CHEMBL39781,246.31,1.8983,50.27,0,3,3
CHEMBL39782,232.28299999999993,1.5082,50.27,0,3,2
CHEMBL39275,274.36400000000003,2.6785000000000014,50.27,0,3,5
CHEMBL289116,218.25599999999994,1.166,59.06,1,3,2
CHEMBL37321,302.418,3.458700000000002,50.27,0,3,7
CHEMBL39513,288.391,3.0686000000000018,50.27,0,3,6
CHEMBL38877,260.337,2.2884,50.27,0,3,4
CHEMBL39152,274.36400000000003,2.7264,59.06,1,3,6
CHEMBL288712,260.337,2.3362999999999996,59.06,1,3,5
CHEMBL41761,319.38300000000004,4.634500000000003,22.75,0,3,4
CHEMBL275594,232.28299999999996,1.5560999999999998,59.06,1,3,3
CHEMBL304903,221.30300000000003,3.525000000000002,12.89,0,1,1
CHEMBL90585,235.28599999999997,3.294100000000002,29.96,0,2,1
CHEMBL112021,321.81100000000004,4.587800000000002,22.75,0,3,4
CHEMBL112074,301.39300000000003,4.495400000000003,22.75,0,3,4
CHEMBL324070,427.5290000000001,5.020920000000004,56.89,0,5,5
CHEMBL431859,412.30600000000004,5.705420000000004,22.75,0,3,4
CHEMBL113637,319.38300000000004,4.634500000000003,22.75,0,3,4
CHEMBL324326,312.37600000000003,3.8060800000000024,46.54,0,4,4
CHEMBL111868,384.25200000000007,4.914100000000003,22.75,0,3,3
CHEMBL111888,398.27900000000005,5.397000000000003,22.75,0,3,4
CHEMBL341591,329.5280000000001,4.288200000000003,42.17,2,2,2
CHEMBL352645,210.28000000000003,2.8531000000000004,28.68,1,1,1
CHEMBL169251,224.26299999999998,2.622200000000001,45.75,1,2,1
CHEMBL415753,224.26299999999998,2.622200000000001,45.75,1,2,1
CHEMBL440930,221.30300000000003,3.525000000000002,12.89,0,1,1
CHEMBL168434,224.26299999999998,2.622200000000001,45.75,1,2,1
CHEMBL168636,235.28599999999997,3.294100000000002,29.96,0,2,1
CHEMBL413344,236.27399999999997,2.6891000000000007,42.85,0,3,1
CHEMBL353068,210.28000000000003,2.8531000000000004,28.68,1,1,1
CHEMBL168444,254.28900000000002,1.9552999999999998,63.08,1,4,2
CHEMBL424556,236.274,2.6891000000000016,42.85,0,3,1
CHEMBL1629804,272.432,4.908400000000005,17.07,0,1,0
CHEMBL1629805,288.43100000000004,3.8808000000000025,37.3,1,2,1
CHEMBL1629806,288.43100000000004,3.8792000000000035,37.3,1,2,0
CHEMBL1630261,288.43100000000004,3.8792000000000035,37.3,1,2,0
CHEMBL1630267,304.43000000000006,2.8516000000000012,57.53,2,3,1
CHEMBL1630273,304.43000000000006,2.8516000000000012,57.53,2,3,1
CHEMBL1630274,304.43000000000006,2.8516000000000012,57.53,2,3,1
CHEMBL1630275,318.4570000000001,3.5057000000000027,46.53,1,3,2
CHEMBL2112738,346.46700000000016,3.4224000000000023,63.6,1,4,2
CHEMBL2112739,330.46800000000013,4.450000000000005,43.370000000000005,0,3,1
CHEMBL3349856,288.43100000000004,3.8792000000000035,37.3,1,2,0
CHEMBL3349864,288.43100000000004,3.8792000000000035,37.3,1,2,0
CHEMBL10137,343.38200000000006,4.490200000000003,48.42,0,4,3
CHEMBL274318,224.259,3.3931000000000022,26.3,0,2,1
CHEMBL10072,313.35600000000005,4.481600000000003,39.19,0,3,2
CHEMBL267508,343.38200000000006,4.490200000000003,48.42,0,4,3
CHEMBL10026,313.35600000000005,4.481600000000003,39.19,0,3,2
CHEMBL9687,254.285,3.4017000000000017,35.53,0,3,2
CHEMBL27879,356.5100000000001,4.4261000000000035,63.4,1,3,10
CHEMBL27591,286.37500000000006,2.475600000000001,63.4,1,3,5
CHEMBL27386,202.21300000000002,0.18289999999999967,72.19,2,3,1
CHEMBL27698,258.32099999999997,1.6954,63.4,1,3,3
CHEMBL26651,272.348,2.0854999999999997,63.4,1,3,5
CHEMBL281947,298.38599999999997,2.475600000000001,63.400000000000006,1,3,3
CHEMBL27546,312.413,2.8657000000000012,63.400000000000006,1,3,3
CHEMBL27767,202.21300000000002,0.18289999999999967,72.19,2,3,1
CHEMBL286506,272.348,1.9414,63.4,1,3,3
CHEMBL28173,314.4290000000001,3.2558000000000007,63.4,1,3,7
CHEMBL28290,336.3910000000001,2.4942,72.63,1,4,4
CHEMBL27467,298.38599999999997,2.618100000000001,63.400000000000006,1,3,2
CHEMBL26543,216.24,0.5729999999999997,72.19,2,3,1
CHEMBL287574,202.21300000000002,0.18289999999999967,72.19,2,3,1
CHEMBL31760,195.225,2.2737799999999995,41.61,0,3,2
CHEMBL29482,284.322,3.2641600000000013,65.4,0,4,3
CHEMBL289766,316.44500000000005,3.896700000000002,59.06,1,3,9
CHEMBL39840,358.526,5.019100000000004,50.27,0,3,11
CHEMBL38472,302.41800000000006,3.5066000000000015,59.06,1,3,8
CHEMBL40125,246.30999999999997,1.9462,59.06,1,3,4
CHEMBL311077,374.5210000000002,4.814200000000005,52.6,0,4,3
CHEMBL83835,308.4120000000001,5.153600000000004,17.07,0,1,1
CHEMBL81255,332.48400000000004,4.243400000000004,46.53,1,3,2
CHEMBL309656,330.46800000000013,4.451600000000004,43.370000000000005,0,3,2
CHEMBL443530,332.4840000000001,4.243400000000004,46.53,1,3,2
CHEMBL113121,324.46400000000006,4.336800000000004,34.14,0,2,1
CHEMBL113082,324.46400000000006,4.336800000000004,34.14,0,2,1
CHEMBL109211,310.437,3.9467000000000034,34.14,0,2,1
CHEMBL113739,310.437,3.9467000000000034,34.14,0,2,1
CHEMBL353571,390.6140000000002,5.431400000000005,34.14,0,4,5
CHEMBL424162,368.5420000000002,4.744100000000005,34.14,0,3,4
CHEMBL164993,360.5190000000002,4.347200000000004,51.21,0,4,2
CHEMBL349704,344.52000000000015,4.740700000000005,34.14,0,3,3
CHEMBL350713,354.5150000000002,4.701600000000004,34.14,0,3,3
CHEMBL349963,406.5910000000001,6.170000000000006,34.14,0,3,4
CHEMBL165218,358.5470000000002,5.130800000000005,34.14,0,3,4
CHEMBL165925,328.4520000000001,4.024100000000003,43.370000000000005,0,3,3
CHEMBL169086,241.31499999999997,3.3556000000000017,29.96,0,3,1
CHEMBL1630266,304.43000000000006,2.8516000000000012,57.53,2,3,1
CHEMBL1630911,288.431,3.8808000000000025,37.3,1,2,1
CHEMBL2105261,310.437,4.090800000000003,34.14,0,2,1
CHEMBL2111917,330.46800000000013,4.450000000000005,43.370000000000005,0,3,1
CHEMBL2112309,310.42800000000005,4.945400000000006,20.23,1,1,1
CHEMBL2311169,272.432,4.908400000000005,17.07,0,1,0
CHEMBL31456,351.207,4.143880000000003,53.97,0,4,2
CHEMBL31224,221.263,2.59018,41.61,0,3,1
CHEMBL287677,223.279,2.680480000000001,41.61,0,3,1
CHEMBL285809,324.38699999999994,3.754660000000002,65.4,0,4,2
CHEMBL31215,223.279,2.680480000000001,41.61,0,3,1
CHEMBL305205,286.459,5.154400000000005,17.07,0,1,0
CHEMBL305630,342.5670000000001,6.714800000000007,17.07,0,1,4
CHEMBL70317,314.5130000000001,5.934600000000007,17.07,0,1,2
CHEMBL74339,302.50200000000007,5.336300000000006,20.23,1,1,1
CHEMBL308537,302.458,4.533300000000004,26.3,0,2,1
CHEMBL310735,286.459,5.154400000000005,17.07,0,1,0
CHEMBL70436,300.48600000000005,5.5445000000000055,17.07,0,1,1
CHEMBL304305,314.5130000000001,5.934600000000007,17.07,0,1,2
