molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target,is_outlier,molwt,LogP,TPSA,HBD,HBA,RotB,violation_count,passes_lipinski,passes_veber
CHEMBL165,=,=,nM,0.6,nM,0.6,DPP4,False,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL9352,=,=,nM,2.9,nM,2.9,aromatase,False,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL275638,=,=,nM,8.0,nM,8.0,aromatase,False,222.243,3.4600000000000017,30.21,0.0,2.0,1.0,0.0,True,True
CHEMBL50,=,=,nM,12.0,nM,12.0,aromatase,False,302.23800000000006,1.988,131.36,5.0,7.0,1.0,0.0,True,True
CHEMBL5624847,=,=,nM,83.0,uM,0.083,DPP4,False,498.5160000000002,4.124700000000003,101.06,0.0,7.0,6.0,0.0,True,True
CHEMBL5630729,=,=,nM,90.0,uM,0.09,DPP4,False,378.4060000000001,1.2959,96.38,1.0,8.0,4.0,0.0,True,True
CHEMBL5631021,=,=,nM,90.0,uM,0.09,DPP4,False,538.6070000000002,2.8485000000000005,118.88000000000002,0.0,10.0,7.0,1.0,True,True
CHEMBL5624847,=,=,nM,117.0,uM,0.117,PTP1B,False,498.5160000000002,4.124700000000003,101.06,0.0,7.0,6.0,0.0,True,True
CHEMBL5630566,=,=,nM,118.0,uM,0.118,DPP4,False,543.5270000000003,3.954600000000003,97.63000000000002,0.0,9.0,6.0,1.0,True,True
CHEMBL151,=,=,nM,120.0,uM,0.12,DPP4,False,286.23900000000003,2.2824000000000004,111.13,4.0,6.0,1.0,0.0,True,True
CHEMBL5624515,=,=,nM,126.0,uM,0.126,DPP4,False,577.6840000000003,3.835000000000003,104.3,0.0,8.0,8.0,1.0,True,True
CHEMBL5631021,=,=,nM,139.0,uM,0.139,PTP1B,False,538.6070000000002,2.8485000000000005,118.88000000000002,0.0,10.0,7.0,1.0,True,True
CHEMBL28,=,=,nM,140.0,uM,0.14,DPP4,False,270.24,2.576800000000001,90.9,3.0,5.0,1.0,0.0,True,True
CHEMBL275638,=,=,nM,170.0,uM,0.17,DPP4,False,222.243,3.4600000000000017,30.21,0.0,2.0,1.0,0.0,True,True
CHEMBL5630566,=,=,nM,179.0,uM,0.179,PTP1B,False,543.5270000000003,3.954600000000003,97.63000000000002,0.0,9.0,6.0,1.0,True,True
CHEMBL5630180,=,=,nM,197.0,uM,0.197,PTP1B,False,515.6130000000003,2.4057000000000004,104.3,0.0,8.0,7.0,1.0,True,True
CHEMBL5630180,=,=,nM,220.0,uM,0.22,DPP4,False,515.6130000000003,2.4057000000000004,104.3,0.0,8.0,7.0,1.0,True,True
CHEMBL9352,=,=,nM,230.0,uM,0.23,aromatase,False,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL9352,=,=,nM,230.0,uM,0.23,aromatase,False,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL9352,=,=,nM,230.0,uM,0.23,aromatase,False,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL9352,=,=,nM,240.0,uM,0.24,DPP4,False,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
CHEMBL5624515,=,=,nM,289.0,uM,0.289,PTP1B,False,577.6840000000003,3.835000000000003,104.3,0.0,8.0,8.0,1.0,True,True
CHEMBL28,=,=,nM,900.0,nM,900.0,aromatase,False,270.24,2.576800000000001,90.9,3.0,5.0,1.0,0.0,True,True
