molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target
CHEMBL341591,=,=,nM,7100.0,uM,7.1,aromatase
CHEMBL2111947,>,>,nM,50000.0,uM,50.0,aromatase
CHEMBL431859,=,=,nM,238.0,uM,0.238,aromatase
CHEMBL113637,=,=,nM,57.0,uM,0.057,aromatase
CHEMBL112021,=,=,nM,54.0,uM,0.054,aromatase
CHEMBL324070,=,=,nM,5400.0,uM,5.4,aromatase
CHEMBL41761,=,=,nM,41.0,uM,0.041,aromatase
CHEMBL111868,=,=,nM,78.5,uM,0.0785,aromatase
CHEMBL111888,=,=,nM,51.8,uM,0.0518,aromatase
CHEMBL112074,=,=,nM,205.0,uM,0.205,aromatase
CHEMBL324326,=,=,nM,50.0,uM,0.05,aromatase
CHEMBL37321,=,=,nM,6600.0,uM,6.6,aromatase
CHEMBL353068,=,=,nM,51000.0,uM,51.0,aromatase
CHEMBL41066,=,=,nM,3200.0,uM,3.2,aromatase
CHEMBL166709,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL424556,=,=,nM,103000.0,uM,103.0,aromatase
CHEMBL1630273,=,=,nM,6800.0,uM,6.8,aromatase
CHEMBL1630261,=,=,nM,50.0,uM,0.05,aromatase
CHEMBL169251,=,=,nM,170.0,uM,0.17,aromatase
CHEMBL168636,=,=,nM,9200.0,uM,9.2,aromatase
CHEMBL90585,=,=,nM,4600.0,uM,4.6,aromatase
CHEMBL1629805,=,=,nM,49.0,uM,0.049,aromatase
CHEMBL433728,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL38877,=,=,nM,31000.0,uM,31.0,aromatase
CHEMBL169449,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL39275,=,=,nM,40000.0,uM,40.0,aromatase
CHEMBL39513,=,=,nM,21000.0,uM,21.0,aromatase
CHEMBL2112738,=,=,nM,11000.0,uM,11.0,aromatase
CHEMBL289116,=,=,nM,10000.0,uM,10.0,aromatase
CHEMBL289116,=,=,nM,45000.0,uM,45.0,aromatase
CHEMBL39782,=,=,nM,30000.0,uM,30.0,aromatase
CHEMBL304903,=,=,nM,370.0,uM,0.37,aromatase
CHEMBL488,=,=,nM,8000.0,uM,8.0,aromatase
CHEMBL488,=,=,nM,14000.0,uM,14.0,aromatase
CHEMBL168434,=,=,nM,260.0,uM,0.26,aromatase
CHEMBL352645,=,=,nM,600.0,uM,0.6,aromatase
CHEMBL2112739,=,=,nM,1000.0,uM,1.0,aromatase
CHEMBL440930,=,=,nM,13000.0,uM,13.0,aromatase
CHEMBL1630274,=,=,nM,31.0,uM,0.031,aromatase
CHEMBL1629804,=,=,nM,60.0,uM,0.06,aromatase
CHEMBL39661,=,=,nM,800.0,uM,0.8,aromatase
CHEMBL39661,=,=,nM,5000.0,uM,5.0,aromatase
CHEMBL38550,=,=,nM,3000.0,uM,3.0,aromatase
CHEMBL39152,=,=,nM,3600.0,uM,3.6,aromatase
CHEMBL166789,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL3349856,=,=,nM,860.0,uM,0.86,aromatase
CHEMBL1630275,=,=,nM,150000.0,uM,150.0,aromatase
CHEMBL1630267,=,=,nM,940.0,uM,0.94,aromatase
CHEMBL38439,=,=,nM,1500.0,uM,1.5,aromatase
CHEMBL38510,=,=,nM,245000.0,uM,245.0,aromatase
CHEMBL415753,=,=,nM,18000.0,uM,18.0,aromatase
CHEMBL3349864,=,=,nM,280.0,uM,0.28,aromatase
CHEMBL1629806,=,=,nM,190.0,uM,0.19,aromatase
CHEMBL169664,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL168762,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL275594,=,=,nM,6000.0,uM,6.0,aromatase
CHEMBL39781,=,=,nM,385000.0,uM,385.0,aromatase
CHEMBL413344,=,=,nM,38000.0,uM,38.0,aromatase
CHEMBL168444,=,=,nM,27000.0,uM,27.0,aromatase
CHEMBL288712,=,=,nM,2500.0,uM,2.5,aromatase
CHEMBL169086,=,=,nM,1100.0,uM,1.1,aromatase
CHEMBL168700,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL355681,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL289766,=,=,nM,2400.0,uM,2.4,aromatase
CHEMBL1630266,=,=,nM,1400.0,uM,1.4,aromatase
CHEMBL2111917,=,=,nM,700.0,uM,0.7,aromatase
CHEMBL39840,=,=,nM,10000.0,uM,10.0,aromatase
CHEMBL424203,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL1630911,=,=,nM,6900.0,uM,6.9,aromatase
CHEMBL40125,=,=,nM,4000.0,uM,4.0,aromatase
CHEMBL28689,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL166974,>,>,nM,250000.0,uM,250.0,aromatase
CHEMBL2311169,=,=,nM,660.0,uM,0.66,aromatase
CHEMBL38472,=,=,nM,330.0,uM,0.33,aromatase
CHEMBL38472,=,=,nM,600.0,uM,0.6,aromatase
CHEMBL276140,>,>,nM,100000.0,uM,100.0,aromatase
CHEMBL297784,>,>,nM,100000.0,uM,100.0,aromatase
CHEMBL14563,>,>,nM,100000.0,uM,100.0,aromatase
CHEMBL274318,=,=,nM,28500.0,uM,28.5,aromatase
CHEMBL113739,=,=,nM,187.5,nM,187.5,aromatase
CHEMBL113121,=,=,nM,176.0,nM,176.0,aromatase
CHEMBL10137,=,=,nM,620.0,uM,0.62,aromatase
CHEMBL10072,=,=,nM,3300.0,uM,3.3,aromatase
CHEMBL113082,=,=,nM,31.0,nM,31.0,aromatase
CHEMBL9687,=,=,nM,8000.0,uM,8.0,aromatase
CHEMBL10026,=,=,nM,800.0,uM,0.8,aromatase
CHEMBL2105261,=,=,nM,56.2,nM,56.2,aromatase
CHEMBL488,=,=,nM,5200.0,uM,5.2,aromatase
