molecule_chembl_id,canonical_smiles
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38439,CCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL41066,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL38510,CC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL38550,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39781,CCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39782,CCC1(c2ccncc2)CCC(=O)N(C)C1=O
CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL37321,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39513,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38877,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL39152,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL288712,CCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21
CHEMBL275594,CCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21
CHEMBL112021,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21
CHEMBL112074,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21
CHEMBL324070,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1
CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21
CHEMBL113637,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21
CHEMBL324326,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1
CHEMBL111868,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21
CHEMBL111888,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21
CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21
CHEMBL415753,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21
CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1
CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21
CHEMBL168636,O=C1/C(=C/c2cccnc2)CCc2ccccc21
CHEMBL413344,O=C1/C(=C/c2cnccn2)CCc2ccccc21
CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21
CHEMBL168444,O=C1c2ccccc2CCC1C(O)c1ccncn1
CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21
CHEMBL1629804,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1629806,C[C@]12CCCC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1630261,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL1630267,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1630273,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1630274,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1630275,CO[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL2112738,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL2112739,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL3349856,C[C@]12CCC[C@@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL3349864,C[C@]12CCC[C@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL10137,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O
CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL10072,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21
CHEMBL267508,COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O
CHEMBL10026,O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21
CHEMBL9687,COc1ccc2c(c1)OC(c1ccccc1)CC2=O
CHEMBL27879,CCCCCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL27591,CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL27386,Nc1ccc([C@@]23C[C@@H]2C(=O)NC3=O)cc1
CHEMBL27698,CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL26651,CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL27546,Nc1ccc(C23CC(C2)C(=O)N(CC2CCCCC2)C3=O)cc1
CHEMBL27767,Nc1ccc([C@]23C[C@H]2C(=O)NC3=O)cc1
CHEMBL286506,CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL28173,CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL28290,COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1
CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1
CHEMBL26543,Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1
CHEMBL287574,Nc1ccc(C23CC2C(=O)NC3=O)cc1
CHEMBL31760,C=C(c1ccc(C#N)cc1)n1ccnc1
CHEMBL29482,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1
CHEMBL289766,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL39840,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL40125,CCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL311077,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12
CHEMBL83835,CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O
CHEMBL81255,CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C
CHEMBL309656,CC(=O)OCC12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12
CHEMBL443530,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12
CHEMBL113121,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL113082,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL109211,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL113739,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL353571,CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL424162,C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL164993,CSC(=O)C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL349704,CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL350713,C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL349963,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O
